video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=jRcejaxTsFM&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@jubilee,Jubilee,1 Black Radical vs 20 Black Conservatives (ft. Amanda Seales),3.6M,5 months,... Claim #4 Black conservatism fails to address the needs of the working class 01:20:46 John-Samuel's Claim: Black people as a ...,2026-01-22 01:01:45.061836
/watch?v=uDwPIon8hVA&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@CocoaButter,Cocoa Butter,Black vs Italian: We Try Each Other's Spaghetti | Taste Wars,3.4M,9 months,"Your destination for Black culture and entertainment. We are timely, relevant, connected, and moving at the speed of culture.",2026-01-22 01:01:45.067705
/watch?v=viG0mT8gV_4&pp=ygUNYmxhY2sgY3VsdHVyZdIHCQmHCgGHKiGM7w%3D%3D,/@Birdsview903,birdsview podcast,"The untold black history,gate keeping black culture",227,Streamed 2 months,BlackCulture #BlackHistory #DidYouKnow #BlackCreators #CultureTalk #PopCulture2025 #BlackInventors #BlackMovies ...,2026-01-22 01:01:45.069092
/watch?v=744seqbRhOc&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@CocoaButter,Cocoa Butter,Black vs White: We Try Each Other's Turkey Plates ⎸ Taste Wars,2.1M,1 month,"Your destination for Black culture and entertainment. We are timely, relevant, connected, and moving at the speed of culture.",2026-01-22 01:01:45.072228
/shorts/uTrFnPzcGeY,/@TheDailyShow,The Daily Show,"Americans are fed a steady diet of propaganda about Black people, and Leslie Jones isn't having it",1.7M,1 month,I just need to know why does America have so much hatred for black people is it because when you see black people you're ...,2026-01-22 01:01:45.073780
/watch?v=C7tFNyd7p_I&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@CocoaButter,Cocoa Butter,Chinese vs Black: We Try Each Other's Fried Rice ⎸ Taste Wars,930K,3 months,"Your destination for Black culture and entertainment. We are timely, relevant, connected, and moving at the speed of culture.",2026-01-22 01:01:45.075188
/watch?v=9XPyhQhlE1E&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@AntonDaniels,Anton Daniels,"""I Researched Charlie Kirk, He Was Right,"" Black People Turn Away From Liberals, Right About Culture",618K,4 months,"Tiege Hanley: Get your first box 40% off (+ FREE gift), and 20% off for life, at https://tiege.com/antondaniels Join the Bag Chasers ...",2026-01-22 01:01:45.076503
/shorts/_BYneEyX04M,/@ExpediTIouslywithTipTIHarris,expediTIously with Tip T.I. Harris,One Thing Shabazz Would Change About Black Culture,1.2K,1 day,SUBSCRIBE ▶︎ https://bit.ly/expediTIouslySubscribe Listen to expediTIously on all podcast platforms: ...,2026-01-22 01:01:45.077909
/watch?v=XcnO0Xnp24k&pp=ygUNYmxhY2sgY3VsdHVyZQ%3D%3D,/@AfricanDiasporaNews,African Diaspora News Channel,Latinos Called Out For Gatekeeping Black Culture From Blacks In Los Angeles California,38K,Streamed 4 weeks,Demetra Kaye reports on Latinos being called out for gatekeeping Black Culture from Blacks in Los Angeles. Connect with ...,2026-01-22 01:01:45.080513
/shorts/4nsxaKh1AFQ,/@uocNguyenThi-pl7ig,Benjamin,🎬 Black-ish (TV Series) — “Dad’s Tough Talk… Soft Request”｜Return Mission 😎🧥😂,1.2M,3 days,"A simple store return turns into a full performance 🛍️ Dad marches to the counter, ready to handle business His daughter ...",2026-01-22 01:01:45.081741
